id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
bec6cb1d-df4f-45b0-86c8-8ec76bd818ca,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 22:22:56,6320.251505374908,0.3905912988023588,0.1539386709100892,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
dc9a1f63-95a7-43b8-83a2-bb99244b9bd1,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 23:06:42,20.27571129798889,0.0009860657103873,0.0003886252595807,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
b67cfcf1-e151-4bfc-9ad6-1a8a392e4655,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 23:07:44,10.175546884536743,0.0005861155053852,0.0002309980846359,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
a570209a-3815-4610-b9a0-1c342f1e7e0f,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 23:08:29,10.269708395004272,0.0006167531026504,0.0002430728825573,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
cb740b46-8ae8-4b87-a289-40c4bf1bf1eb,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 23:09:55,20.20015501976013,0.0013933451617238,0.0005491410151031,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
ddd83f46-c640-4e85-bbd7-102086c91812,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 23:10:52,60.1808865070343,0.0045308020647815,0.0017856661173655,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
3df761c7-97e8-4b43-bc71-37f2c70f2b6a,Random Sampling Carbon,training <Random Subsets> model,,2024-01-14 23:12:14,8050.2339560985565,0.4184096032762376,0.1649023376144209,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
05e17b98-54ec-42b2-b281-abfbdd14e289,Random Sampling Carbon,training <Random Subsets> model,,2024-01-15 01:50:39,20.172410011291504,0.0009427110486418,0.0003715384503575,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
8980a253-da3d-4eca-9b52-be5792abbdf4,Random Sampling Carbon,training <Random Subsets> model,,2024-01-15 01:55:49,0.2164750099182129,8.867107765792601e-07,3.494677911330883e-07,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
fcae3a36-7f7f-4d3c-b7c1-769303765784,Random Sampling Carbon,training <Random Subsets> model,,2024-01-15 02:15:17,20.17520022392273,0.0015438871396068,0.0006084721678004,"13th Gen Intel(R) Core(TM) i7-13700KF/1 device(s), TDP:165.0",NVIDIA RTX A6000 1 device(s),Linux,NL/North Brabant,0
